# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.55
2                      19.09
4                      38.47
8                      77.06
16                    154.32
32                    298.31
64                    589.91
128                   742.71
256                  1359.49
512                  2433.75
1024                 3921.01
2048                 6150.14
4096                 8552.78
8192                10750.42
16384                6349.78
32768                9061.96
65536               11426.32
131072              12312.21
262144              11105.03
524288              11006.25
1048576             11341.06
2097152             11599.13
4194304             10761.69
