# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.29
2                      18.51
4                      37.08
8                      72.49
16                    149.25
32                    298.64
64                    602.05
128                   737.26
256                  1351.50
512                  2398.63
1024                 3856.83
2048                 6039.33
4096                 8426.19
8192                10579.81
16384                6452.12
32768                9151.46
65536               11731.92
131072              12582.20
262144              11177.57
524288              11249.84
1048576             11600.31
2097152             11739.19
4194304             11819.97
