# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.32
2                      18.85
4                      37.65
8                      76.99
16                    153.36
32                    299.42
64                    596.55
128                   758.85
256                  1372.24
512                  2408.52
1024                 3918.94
2048                 6173.42
4096                 8431.89
8192                10568.03
16384                6559.25
32768                9251.78
65536               11426.10
131072              11773.96
262144              11223.23
524288              10957.75
1048576             11220.46
2097152             11358.84
4194304             11069.84
