# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.41
2                      18.89
4                      37.61
8                      75.58
16                    154.22
32                    294.98
64                    577.73
128                   727.69
256                  1333.50
512                  2353.37
1024                 3835.00
2048                 6033.14
4096                 8477.07
8192                10183.76
16384                6695.75
32768                9240.78
65536               11519.01
131072              12011.75
262144              10843.38
524288              10815.64
1048576             11109.77
2097152             11470.73
4194304             10697.44
