# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.72
1                       1.67
2                       1.67
4                       1.66
8                       1.66
16                      1.67
32                      1.68
64                      1.84
128                     2.56
256                     2.71
512                     3.00
1024                    3.59
2048                    4.67
4096                    6.89
8192                    8.90
16384                  11.57
32768                  16.67
65536                  26.68
131072                 46.36
262144                 84.71
524288                161.30
1048576               315.74
2097152               624.51
4194304              1243.31
