# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.65
2                       1.65
4                       1.64
8                       1.65
16                      1.64
32                      1.65
64                      1.79
128                     2.46
256                     2.61
512                     2.90
1024                    3.45
2048                    4.50
4096                    6.60
8192                    8.48
16384                  11.11
32768                  16.25
65536                  26.27
131072                 45.99
262144                 83.93
524288                161.23
1048576               315.63
2097152               624.47
4194304              1243.19
