# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.66
2                       1.66
4                       1.64
8                       1.65
16                      1.65
32                      1.66
64                      1.80
128                     2.47
256                     2.62
512                     2.90
1024                    3.45
2048                    4.52
4096                    6.61
8192                    8.48
16384                  11.13
32768                  16.23
65536                  26.30
131072                 45.98
262144                 84.67
524288                161.28
1048576               315.72
2097152               624.67
4194304              1242.63
