# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.66
2                       1.65
4                       1.64
8                       1.64
16                      1.65
32                      1.65
64                      1.79
128                     2.48
256                     2.62
512                     2.91
1024                    3.50
2048                    4.51
4096                    6.63
8192                    8.53
16384                  11.20
32768                  16.34
65536                  26.38
131072                 46.04
262144                 84.77
524288                161.46
1048576               315.90
2097152               624.90
4194304              1243.37
