# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.66
2                       1.65
4                       1.65
8                       1.64
16                      1.64
32                      1.66
64                      1.79
128                     2.49
256                     2.62
512                     2.90
1024                    3.45
2048                    4.48
4096                    6.61
8192                    8.47
16384                  11.12
32768                  16.25
65536                  26.31
131072                 45.97
262144                 84.66
524288                161.23
1048576               315.70
2097152               624.57
4194304              1243.16
