# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.66
2                       1.66
4                       1.64
8                       1.64
16                      1.64
32                      1.65
64                      1.79
128                     2.44
256                     2.59
512                     2.87
1024                    3.43
2048                    4.46
4096                    6.58
8192                    8.46
16384                  11.13
32768                  16.20
65536                  26.26
131072                 45.89
262144                 84.62
524288                161.17
1048576               315.68
2097152               624.47
4194304              1243.06
