# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.71
1                       1.67
2                       1.67
4                       1.65
8                       1.65
16                      1.65
32                      1.65
64                      1.81
128                     2.55
256                     2.69
512                     2.98
1024                    3.57
2048                    4.66
4096                    6.86
8192                    8.85
16384                  11.47
32768                  16.60
65536                  26.63
131072                 46.27
262144                 83.95
524288                161.19
1048576               315.57
2097152               624.44
4194304              1242.36
