# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.67
1                       1.63
2                       1.63
4                       1.62
8                       1.62
16                      1.62
32                      1.63
64                      1.77
128                     2.44
256                     2.59
512                     2.86
1024                    3.42
2048                    4.46
4096                    6.57
8192                    8.45
16384                  11.10
32768                  16.24
65536                  26.32
131072                 45.96
262144                 83.93
524288                161.20
1048576               315.58
2097152               624.45
4194304              1243.26
