# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.65
2                       1.65
4                       1.63
8                       1.64
16                      1.64
32                      1.65
64                      1.78
128                     2.46
256                     2.61
512                     2.89
1024                    3.44
2048                    4.49
4096                    6.62
8192                    8.47
16384                  11.11
32768                  16.21
65536                  26.34
131072                 45.91
262144                 84.63
524288                161.20
1048576               315.64
2097152               624.55
4194304              1243.16
