# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.65
2                       1.64
4                       1.64
8                       1.64
16                      1.64
32                      1.65
64                      1.78
128                     2.45
256                     2.61
512                     2.89
1024                    3.44
2048                    4.49
4096                    6.59
8192                    8.46
16384                  11.11
32768                  16.23
65536                  26.32
131072                 45.99
262144                 84.00
524288                161.40
1048576               315.68
2097152               624.68
4194304              1243.51
