# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.66
2                       1.65
4                       1.64
8                       1.65
16                      1.65
32                      1.66
64                      1.79
128                     2.46
256                     2.61
512                     2.89
1024                    3.46
2048                    4.48
4096                    6.59
8192                    8.47
16384                  11.12
32768                  16.24
65536                  26.30
131072                 46.03
262144                 84.64
524288                161.35
1048576               315.77
2097152               624.75
4194304              1243.03
