# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.67
1                       1.64
2                       1.64
4                       1.62
8                       1.63
16                      1.63
32                      1.63
64                      1.77
128                     2.44
256                     2.59
512                     2.87
1024                    3.42
2048                    4.46
4096                    6.58
8192                    8.45
16384                  11.11
32768                  16.20
65536                  26.31
131072                 45.98
262144                 83.88
524288                161.16
1048576               315.67
2097152               624.55
4194304              1243.21
