# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.20
64                      0.21
128                     0.33
256                     0.36
512                     0.38
1024                    0.46
2048                    0.61
4096                    0.92
8192                    1.60
16384                   2.89
32768                   4.73
65536                   7.99
131072                 16.37
262144                 24.04
524288                 47.85
1048576                91.93
2097152               191.36
4194304               771.72
