# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.21
64                      0.21
128                     0.33
256                     0.35
512                     0.39
1024                    0.46
2048                    0.61
4096                    0.93
8192                    1.61
16384                   2.90
32768                   4.77
65536                   8.26
131072                 16.42
262144                 25.20
524288                 48.94
1048576                93.53
2097152               190.80
4194304               773.67
