# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.17
32                      0.21
64                      0.21
128                     0.33
256                     0.35
512                     0.38
1024                    0.46
2048                    0.61
4096                    0.95
8192                    1.61
16384                   2.91
32768                   4.73
65536                   8.17
131072                 16.35
262144                 24.86
524288                 48.57
1048576                94.68
2097152               196.08
4194304               768.59
