# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.20
64                      0.21
128                     0.33
256                     0.35
512                     0.38
1024                    0.46
2048                    0.60
4096                    0.92
8192                    1.59
16384                   2.86
32768                   4.66
65536                   8.09
131072                 16.27
262144                 24.05
524288                 48.01
1048576                92.59
2097152               193.17
4194304               772.99
