# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.48
2                      18.75
4                      37.01
8                      76.55
16                    154.40
32                    297.62
64                    599.03
128                   752.96
256                  1360.57
512                  2435.97
1024                 3938.05
2048                 6174.08
4096                 8558.80
8192                10725.26
16384                6706.11
32768                9283.67
65536               11591.17
131072              12316.03
262144              11424.17
524288              11341.11
1048576             11722.16
2097152             11786.65
4194304             10427.48
