# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.06
2                      19.20
4                      37.29
8                      76.48
16                    154.50
32                    282.96
64                    611.12
128                   642.32
256                  1155.81
512                  2327.19
1024                 3629.50
2048                 5850.59
4096                 8118.80
8192                 9904.35
16384                6680.53
32768                9301.39
65536               11690.23
131072              12166.31
262144              11196.72
524288              11099.28
1048576             11544.22
2097152             11762.76
4194304             11674.21
