# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.20
2                      18.79
4                      37.25
8                      73.85
16                    145.13
32                    289.54
64                    596.80
128                   736.36
256                  1346.26
512                  2247.23
1024                 3833.41
2048                 6074.05
4096                 8424.96
8192                10628.87
16384                6855.96
32768                9359.27
65536               11725.82
131072              12407.91
262144              11108.24
524288              10981.07
1048576             11256.90
2097152             11608.73
4194304             11553.92
