# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.34
2                      18.06
4                      37.91
8                      76.37
16                    152.93
32                    294.86
64                    599.55
128                   742.09
256                  1356.96
512                  2429.40
1024                 3852.53
2048                 6058.97
4096                 8504.53
8192                10676.06
16384                6595.16
32768                9296.25
65536               11653.14
131072              11776.44
262144              11143.96
524288              10938.86
1048576             11206.43
2097152             11285.88
4194304             10685.45
