# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.33
1                       0.32
2                       0.32
4                       0.32
8                       0.32
16                      0.32
32                      0.56
64                      0.52
128                     0.71
256                     0.75
512                     0.80
1024                    0.96
2048                    1.21
4096                    1.61
8192                    2.59
16384                   4.27
32768                   7.18
65536                  13.24
131072                 26.13
262144                 23.93
524288                 47.62
1048576                91.07
2097152               176.22
4194304               366.29
