# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.32
1                       0.32
2                       0.32
4                       0.32
8                       0.32
16                      0.32
32                      0.50
64                      0.52
128                     0.71
256                     0.74
512                     0.79
1024                    0.96
2048                    1.21
4096                    1.61
8192                    2.58
16384                   4.28
32768                   7.18
65536                  13.33
131072                 26.15
262144                 24.07
524288                 47.49
1048576                91.00
2097152               176.56
4194304               365.95
