# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.33
1                       0.33
2                       0.33
4                       0.33
8                       0.33
16                      0.33
32                      0.52
64                      0.49
128                     0.72
256                     0.76
512                     0.81
1024                    0.98
2048                    1.24
4096                    1.65
8192                    2.63
16384                   4.34
32768                   7.28
65536                  13.52
131072                 26.50
262144                 24.46
524288                 48.25
1048576                92.48
2097152               184.57
4194304               374.05
