# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.32
1                       0.32
2                       0.32
4                       0.32
8                       0.32
16                      0.32
32                      0.51
64                      0.52
128                     0.72
256                     0.75
512                     0.80
1024                    0.97
2048                    1.22
4096                    1.63
8192                    2.60
16384                   4.25
32768                   7.16
65536                  13.13
131072                 26.24
262144                 24.03
524288                 46.75
1048576                89.81
2097152               175.95
4194304               354.13
