# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.32
1                       0.32
2                       0.33
4                       0.32
8                       0.32
16                      0.32
32                      0.53
64                      0.50
128                     0.71
256                     0.75
512                     0.80
1024                    0.97
2048                    1.21
4096                    1.63
8192                    2.60
16384                   4.30
32768                   7.21
65536                  13.30
131072                 26.30
262144                 23.95
524288                 47.38
1048576                90.51
2097152               177.05
4194304               372.44
