# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.33
1                       0.33
2                       0.33
4                       0.33
8                       0.33
16                      0.32
32                      0.51
64                      0.49
128                     0.72
256                     0.76
512                     0.80
1024                    0.98
2048                    1.23
4096                    1.64
8192                    2.62
16384                   4.30
32768                   7.27
65536                  13.36
131072                 26.78
262144                 24.45
524288                 47.72
1048576                91.21
2097152               177.56
4194304               398.07
