# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.65
2                       1.65
4                       1.64
8                       1.64
16                      1.65
32                      1.65
64                      1.79
128                     2.45
256                     2.60
512                     2.88
1024                    3.44
2048                    4.48
4096                    6.59
8192                    8.47
16384                  11.12
32768                  16.26
65536                  26.30
131072                 46.08
262144                 84.02
524288                161.47
1048576               315.78
2097152               624.72
4194304              1243.44
