# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.68
1                       1.66
2                       1.66
4                       1.64
8                       1.64
16                      1.64
32                      1.65
64                      1.78
128                     2.44
256                     2.63
512                     2.93
1024                    3.45
2048                    4.49
4096                    6.59
8192                    8.46
16384                  11.12
32768                  16.21
65536                  26.32
131072                 45.88
262144                 84.03
524288                161.24
1048576               315.63
2097152               624.54
4194304              1243.42
