# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.41
2                       6.89
4                      12.73
8                      24.27
16                     48.57
32                    112.19
64                    208.57
128                   301.36
256                   567.07
512                  1088.24
1024                 1797.47
2048                 2714.61
4096                 2943.94
8192                 3132.04
16384                3205.30
32768                3245.30
65536                3269.73
131072               3282.14
262144               3279.66
524288               3294.69
1048576              3296.53
2097152              3395.63
4194304              3396.43
