# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.37
2                       6.95
4                      13.91
8                      27.69
16                     56.19
32                    112.74
64                    206.70
128                   302.15
256                   568.73
512                  1093.32
1024                 1796.79
2048                 2714.44
4096                 2945.43
8192                 3129.68
16384                3207.44
32768                3243.57
65536                3268.86
131072               3282.57
262144               3287.90
524288               3294.58
1048576              3295.80
2097152              3395.67
4194304              3396.40
