# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.45
2                       7.00
4                      13.96
8                      27.69
16                     56.12
32                    113.53
64                    209.77
128                   301.63
256                   565.87
512                  1086.05
1024                 1795.65
2048                 2712.66
4096                 2943.80
8192                 3127.14
16384                3201.71
32768                3244.98
65536                3270.28
131072               3282.63
262144               3287.22
524288               3294.62
1048576              3295.71
2097152              3395.64
4194304              3396.35
