# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.47
2                       6.98
4                      14.03
8                      27.88
16                     56.13
32                    113.50
64                    208.12
128                   301.40
256                   554.04
512                  1093.01
1024                 1816.18
2048                 2708.57
4096                 2949.03
8192                 3129.05
16384                3210.20
32768                3245.87
65536                3268.39
131072               3277.81
262144               3287.00
524288               3294.61
1048576              3296.30
2097152              3395.53
4194304              3396.35
