# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.45
2                       6.94
4                      13.92
8                      27.71
16                     55.88
32                    112.76
64                    207.23
128                   282.66
256                   555.46
512                  1067.63
1024                 1776.40
2048                 2700.33
4096                 2946.62
8192                 3131.10
16384                3207.88
32768                3246.72
65536                3269.74
131072               3282.35
262144               3286.97
524288               3293.95
1048576              3295.85
2097152              3395.48
4194304              3396.37
