# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.44
2                       6.96
4                      14.05
8                      26.86
16                     54.93
32                    113.38
64                    208.72
128                   302.10
256                   572.78
512                  1093.35
1024                 1798.62
2048                 2703.31
4096                 2941.96
8192                 3129.95
16384                3206.25
32768                3236.80
65536                3263.28
131072               3282.98
262144               3287.62
524288               3294.21
1048576              3295.75
2097152              3395.81
4194304              3396.71
