# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.43
2                       6.98
4                      14.00
8                      27.13
16                     56.01
32                    112.04
64                    208.45
128                   302.18
256                   572.30
512                  1087.19
1024                 1815.06
2048                 2703.48
4096                 2946.25
8192                 3133.29
16384                3197.42
32768                3245.88
65536                3270.93
131072               3283.04
262144               3288.05
524288               3294.35
1048576              3295.70
2097152              3395.60
4194304              3396.37
