# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.44
2                       6.90
4                      13.46
8                      26.58
16                     54.41
32                    108.63
64                    205.81
128                   246.47
256                   481.26
512                   928.13
1024                 1578.12
2048                 2596.99
4096                 2949.58
8192                 3114.93
16384                3192.90
32768                3241.97
65536                3264.98
131072               3281.52
262144               3284.78
524288               3291.46
1048576              3293.77
2097152              3393.70
4194304              3394.56
