# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.47
2                       6.95
4                      14.04
8                      27.62
16                     56.42
32                    113.83
64                    208.00
128                   304.09
256                   565.38
512                  1089.09
1024                 1805.32
2048                 2712.25
4096                 2942.26
8192                 3131.06
16384                3209.33
32768                3244.86
65536                3266.26
131072               3283.31
262144               3287.06
524288               3294.17
1048576              3296.10
2097152              3395.67
4194304              3396.40
