# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.42
2                       6.97
4                      13.91
8                      27.97
16                     56.26
32                    112.28
64                    206.11
128                   248.60
256                   482.71
512                   930.10
1024                 1567.57
2048                 2603.72
4096                 2960.11
8192                 3120.09
16384                3198.04
32768                3234.81
65536                3270.02
131072               3281.49
262144               3286.66
524288               3292.94
1048576              3294.61
2097152              3395.81
4194304              3396.79
