# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.35
2                       6.92
4                      13.84
8                      27.83
16                     55.89
32                    112.17
64                    206.12
128                   301.15
256                   565.41
512                  1076.48
1024                 1744.58
2048                 2647.66
4096                 2947.57
8192                 3127.07
16384                3203.71
32768                3245.00
65536                3268.83
131072               3282.44
262144               3288.16
524288               3295.12
1048576              3296.31
2097152              3395.57
4194304              3396.28
