# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.45
2                       6.95
4                      13.97
8                      27.59
16                     56.20
32                    113.46
64                    208.57
128                   303.21
256                   564.57
512                  1097.67
1024                 1811.14
2048                 2715.70
4096                 2947.15
8192                 3130.87
16384                3208.67
32768                3245.74
65536                3269.59
131072               3280.55
262144               3287.72
524288               3294.65
1048576              3296.75
2097152              3395.69
4194304              3396.46
