# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.43
2                       6.97
4                      13.99
8                      28.07
16                     56.22
32                    112.70
64                    208.26
128                   298.48
256                   569.14
512                  1080.79
1024                 1800.48
2048                 2700.26
4096                 2945.29
8192                 3130.42
16384                3198.96
32768                3245.39
65536                3269.20
131072               3282.35
262144               3288.02
524288               3294.77
1048576              3296.01
2097152              3395.66
4194304              3396.36
