# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.33
2                       6.90
4                      13.78
8                      27.50
16                     55.88
32                    112.59
64                    207.86
128                   299.43
256                   562.35
512                  1072.15
1024                 1791.80
2048                 2688.32
4096                 2940.27
8192                 3119.65
16384                3193.05
32768                3240.70
65536                3262.08
131072               3274.65
262144               3283.35
524288               3287.74
1048576              3289.36
2097152              3395.84
4194304              3396.64
