# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.91
2                      17.77
4                      35.71
8                      71.64
16                    141.44
32                    257.33
64                    558.69
128                   413.37
256                   779.50
512                  1436.64
1024                 2116.64
2048                 3255.75
4096                 4733.24
8192                 5819.79
16384                6356.30
32768                9090.39
65536               11381.26
131072              12212.27
262144              11218.97
524288              11038.18
1048576             11404.02
2097152             11758.76
4194304             11198.94
