# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.91
2                      17.61
4                      34.75
8                      70.24
16                    140.99
32                    260.86
64                    542.99
128                   408.55
256                   760.88
512                  1420.53
1024                 2138.29
2048                 3206.58
4096                 4756.55
8192                 5842.99
16384                6303.32
32768                8901.53
65536               11118.41
131072              12162.64
262144              11272.11
524288              11301.52
1048576             11670.86
2097152             11986.51
4194304             11319.83
