# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.71
2                      17.64
4                      35.38
8                      71.33
16                    144.75
32                    242.09
64                    546.85
128                   409.47
256                   752.49
512                  1439.53
1024                 2133.47
2048                 3267.39
4096                 4757.09
8192                 5841.62
16384                6347.17
32768                8851.18
65536               11125.39
131072              11628.61
262144              10881.14
524288              10935.33
1048576             11281.79
2097152             11518.07
4194304             11152.13
