# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.83
2                      17.59
4                      35.85
8                      71.80
16                    146.09
32                    251.40
64                    502.71
128                   400.91
256                   775.21
512                  1450.54
1024                 2119.76
2048                 3293.36
4096                 4717.76
8192                 5891.73
16384                6379.07
32768                8861.53
65536               11348.11
131072              11882.83
262144              11292.57
524288              11136.66
1048576             11472.77
2097152             11767.78
4194304             11386.67
