# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.00
2                      18.02
4                      35.71
8                      71.64
16                    144.06
32                    265.96
64                    530.38
128                   419.81
256                   771.66
512                  1435.47
1024                 2177.88
2048                 3317.39
4096                 4824.40
8192                 5927.80
16384                6417.95
32768                9006.89
65536               11453.13
131072              12034.94
262144              11315.37
524288              11165.56
1048576             11452.86
2097152             11726.57
4194304             11166.31
