# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.90
2                      18.06
4                      36.38
8                      72.99
16                    146.41
32                    264.90
64                    552.70
128                   414.09
256                   780.27
512                  1455.75
1024                 2147.43
2048                 3288.98
4096                 4770.94
8192                 5860.95
16384                6456.66
32768                9188.00
65536               11644.69
131072              12298.79
262144              11603.69
524288              11450.31
1048576             11780.02
2097152             11996.40
4194304             12107.12
