# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.87
2                      17.90
4                      35.55
8                      69.72
16                    143.34
32                    264.58
64                    559.80
128                   418.00
256                   780.21
512                  1422.19
1024                 2108.39
2048                 3281.24
4096                 4765.08
8192                 5876.59
16384                6546.36
32768                9050.33
65536               11388.70
131072              12167.59
262144              11313.26
524288              11210.24
1048576             11467.14
2097152             11775.31
4194304             11497.87
