# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.65
2                      17.89
4                      36.67
8                      73.04
16                    145.95
32                    266.00
64                    553.43
128                   418.16
256                   794.00
512                  1417.72
1024                 2176.79
2048                 3331.12
4096                 4798.26
8192                 5928.97
16384                6206.31
32768                8849.07
65536               11415.30
131072              12432.32
262144              11393.52
524288              11347.44
1048576             11749.44
2097152             11976.73
4194304             12041.27
